Item,ItemDesc,Min Price,
1864,Phased-out, 0 ,Sylvania
1865,Fhe 21w T5 Foodstar Fresh     , 1.50 ,Sylvania
1866,Fhe 28w T5 Foodstar Fresh     , 2.11 ,Sylvania
1867,Fhe 35w T5 Foodstar Fresh     , 1.54 ,Sylvania
1869,Phased-out, 0 ,Sylvania
1900,Phased-out, 0 ,Sylvania
1902,F6w/T5/54-765/Sp200 El        , 0.08 ,Sylvania
1905,F8w/T5/33-640/Sp200 El        , 1.46 ,Sylvania
1907,Phased-out, 0 ,Sylvania
1908,F8w/T5/54-765/Sp200 El        , 0.15 ,Sylvania
1909,Phased-out, 0 ,Sylvania
1910,F6w/T5/33-640 25way El        , 1.48 ,Sylvania
1911,F6w/T5/840 25way Emergency     , 1.50 ,Sylvania
1912,F8w/T5/33-640 25way El        , 1.51 ,Sylvania
1913,F8w/T5/840 25way Emergency     , 1.51 ,Sylvania
1960,Fc22/830                      , 1.89 ,Sylvania
1961,Fc22/840                      , 1.89 ,Sylvania
1962,Fc22/865                      , 1.89 ,Sylvania
1963,Fc32/830                      , 2.55 ,Sylvania
1964,Fc32/840                      , 2.55 ,Sylvania
1965,Fc32/865                      , 2.55 ,Sylvania
1966,Fc40/830                      , 4.25 ,Sylvania
1967,Fc40/840                      , 4.25 ,Sylvania
1968,Fc40/865                      , 4.25 ,Sylvania
1972,Phased-out, 0 ,Sylvania
1973,Phased-out, 0 ,Sylvania
1974,Phased-out, 0 ,Sylvania
1975,Phased-out, 0 ,Sylvania
1976,Phased-out, 0 ,Sylvania
1977,Phased-out, 0 ,Sylvania
2166,"F25wt8/18""/Bl368 Sylvania     ", 1.40 ,Sylvania
2188,F70w/T8/172 Syl-Activa        , 2.19 ,Sylvania
2208,G 55 T8                       , 8.99 ,Sylvania
2212,F14w/T8/174 Aquastar          , 1.15 ,Sylvania
2216,G6 T5                   001g5 , 1.81 ,Sylvania
2217,T8 G58w                       , 36.59 ,Sylvania
2218,F18w/172 Activa               , 1.32 ,Sylvania
2219,F36w/172 Activa               , 1.62 ,Sylvania
2220,F58w/172 Activa               , 1.77 ,Sylvania
2221,F18w/174 Aquastar             , 1.21 ,Sylvania
2222,F36w/174 Aquastar             , 1.46 ,Sylvania
2223,F58w/174 Aquastar             , 1.54 ,Sylvania
2224,F15w/T8/174 Aquastar          , 1.15 ,Sylvania
